Player,Destination Club,Origin Club,Fee Text,Transfer Fee (EUR),Norm,Pos,Age,MP,Min,Gls,Ast,_merge
Declan RiceD. Rice,Arsenal FC,Unknown,€116.60m,11660000000.0,Declan Rice,MF,24.0,38.0,3225.0,7.0,8.0,both
Kai HavertzK. Havertz,Arsenal FC,Unknown,€75.00m,7500000000.0,Kai Havertz,"MF,FW",24.0,37.0,2634.0,13.0,7.0,both
Jurrien TimberJ. Timber,Arsenal FC,Unknown,€40.00m,4000000000.0,Jurrin Timber,DF,22.0,2.0,71.0,0.0,0.0,both
Moussa DiabyM. Diaby,Aston Villa,Unknown,€55.00m,5500000000.0,Moussa Diaby,"FW,MF",24.0,38.0,2174.0,6.0,8.0,both
Pau TorresP. Torres,Aston Villa,Unknown,€33.00m,3300000000.0,Pau Torres,DF,26.0,29.0,2464.0,2.0,0.0,both
Youri TielemansY. Tielemans,Aston Villa,Unknown,free transfer,0.0,Youri Tielemans,"MF,FW",26.0,32.0,1622.0,2.0,6.0,both
Tyler AdamsT. Adams,AFC Bournemouth,Unknown,€26.90m,2690000000.0,Tyler Adams,MF,24.0,3.0,121.0,0.0,0.0,both
Hamed Junior TraoréH. Traoré,AFC Bournemouth,Unknown,€25.62m,2562000000.0,Hamed Traor,MF,23.0,3.0,47.0,0.0,0.0,both
Alex ScottA. Scott,AFC Bournemouth,Unknown,€23.00m,2300000000.0,Alex Scott,MF,19.0,23.0,1014.0,1.0,1.0,both
Milos KerkezM. Kerkez,AFC Bournemouth,Unknown,€17.87m,1787000000.0,Milos Kerkez,DF,19.0,28.0,1970.0,0.0,1.0,both
Romain FaivreR. Faivre,AFC Bournemouth,Unknown,€15.00m,1500000000.0,Romain Faivre,"MF,FW",25.0,5.0,41.0,0.0,0.0,both
Justin KluivertJ. Kluivert,AFC Bournemouth,Unknown,€10.80m,1080000000.0,Justin Kluivert,"MF,FW",24.0,32.0,1916.0,7.0,1.0,both
Max AaronsM. Aarons,AFC Bournemouth,Unknown,€8.10m,810000000.0,Max Aarons,DF,23.0,20.0,1237.0,0.0,1.0,both
Nathan CollinsN. Collins,Brentford FC,Unknown,€26.85m,2685000000.0,Nathan Collins,DF,22.0,32.0,2652.0,1.0,1.0,both
Kevin SchadeK. Schade,Brentford FC,Unknown,€25.00m,2500000000.0,Kevin Schade,"FW,MF",21.0,11.0,333.0,2.0,1.0,both
Mark FlekkenM. Flekken,Brentford FC,Unknown,€13.00m,1300000000.0,Mark Flekken,GK,30.0,37.0,3285.0,0.0,1.0,both
João PedroJoão Pedro,Brighton & Hove Albion,Unknown,€34.20m,3420000000.0,Joo Pedro,"FW,MF",21.0,31.0,2045.0,9.0,3.0,both
Carlos BalebaC. Baleba,Brighton & Hove Albion,Unknown,€27.00m,2700000000.0,Carlos Baleba,MF,19.0,27.0,1325.0,0.0,0.0,both
Bart VerbruggenB. Verbruggen,Brighton & Hove Albion,Unknown,€20.00m,2000000000.0,Bart Verbruggen,GK,20.0,21.0,1890.0,0.0,0.0,both
IgorIgor,Brighton & Hove Albion,Unknown,€16.50m,1650000000.0,IgorIgor,,,,,,,left_only
James MilnerJ. Milner,Brighton & Hove Albion,Unknown,free transfer,0.0,James Milner,"DF,MF",37.0,15.0,773.0,0.0,2.0,both
Mahmoud DahoudM. Dahoud,Brighton & Hove Albion,Unknown,free transfer,0.0,Mahmoud Dahoud,MF,27.0,9.0,452.0,0.0,1.0,both
Zeki AmdouniZ. Amdouni,Burnley FC,Unknown,€18.60m,1860000000.0,Zeki Amdouni,FW,22.0,34.0,1953.0,5.0,1.0,both
James TraffordJ. Trafford,Burnley FC,Unknown,€17.30m,1730000000.0,James Trafford,GK,20.0,28.0,2520.0,0.0,0.0,both
Aaron RamseyA. Ramsey,Burnley FC,Unknown,€16.45m,1645000000.0,Aaron Ramsey,"MF,FW",20.0,14.0,527.0,0.0,0.0,both
Jordan BeyerJ. Beyer,Burnley FC,Unknown,€15.00m,1500000000.0,Jordan Beyer,DF,23.0,15.0,1234.0,0.0,1.0,both
Sander BergeS. Berge,Burnley FC,Unknown,€13.90m,1390000000.0,Sander Berge,MF,25.0,37.0,3005.0,1.0,2.0,both
Wilson OdobertW. Odobert,Burnley FC,Unknown,€12.00m,1200000000.0,Wilson Odobert,"MF,FW",18.0,29.0,2098.0,3.0,2.0,both
Dara O'SheaD. O'Shea,Burnley FC,Unknown,€7.80m,780000000.0,Dara OShea,DF,24.0,33.0,2892.0,3.0,4.0,both
Michael ObafemiM. Obafemi,Burnley FC,Unknown,€4.00m,400000000.0,Michael Obafemi,"FW,MF",23.0,2.0,20.0,0.0,0.0,both
Hannes DelcroixH. Delcroix,Burnley FC,Unknown,€3.00m,300000000.0,Hannes Delcroix,DF,24.0,12.0,589.0,0.0,0.0,both
Luca KoleoshoL. Koleosho,Burnley FC,Unknown,€3.00m,300000000.0,Luca Koleosho,"MF,FW",18.0,15.0,974.0,1.0,1.0,both
Han-Noah MassengoH. Massengo,Burnley FC,Unknown,free transfer,0.0,Han-Noah Massengo,"MF,DF",22.0,3.0,16.0,0.0,0.0,both
Nathan RedmondN. Redmond,Burnley FC,Unknown,free transfer,0.0,Nathan Redmond,"FW,MF",29.0,12.0,142.0,0.0,0.0,both
Lawrence VigourouxL. Vigouroux,Burnley FC,Unknown,free transfer,0.0,Lawrence Vigouroux,,,,,,,left_only
Moisés CaicedoM. Caicedo,Chelsea FC,Unknown,€116.00m,11600000000.0,Moiss Caicedo,MF,21.0,35.0,2866.0,1.0,3.0,both
Roméo LaviaR. Lavia,Chelsea FC,Unknown,€62.10m,6210000000.0,Romo Lavia,MF,19.0,1.0,33.0,0.0,0.0,both
Christopher NkunkuC. Nkunku,Chelsea FC,Unknown,€60.00m,6000000000.0,Christopher Nkunku,"FW,MF",25.0,11.0,443.0,3.0,0.0,both
Cole PalmerC. Palmer,Chelsea FC,Unknown,€47.00m,4700000000.0,Cole Palmer,"FW,MF",21.0,33.0,2607.0,22.0,11.0,both
Axel DisasiA. Disasi,Chelsea FC,Unknown,€45.00m,4500000000.0,Axel Disasi,DF,25.0,31.0,2579.0,2.0,0.0,both
Nicolas JacksonN. Jackson,Chelsea FC,Unknown,€37.00m,3700000000.0,Nicolas Jackson,FW,22.0,35.0,2799.0,14.0,5.0,both
Lesley UgochukwuL. Ugochukwu,Chelsea FC,Unknown,€27.00m,2700000000.0,Lesley Ugochukwu,MF,19.0,12.0,301.0,0.0,0.0,both
Robert SánchezR. Sánchez,Chelsea FC,Unknown,€23.00m,2300000000.0,Robert Snchez,GK,25.0,16.0,1433.0,0.0,0.0,both
Djordje PetrovicD. Petrovic,Chelsea FC,Unknown,€16.00m,1600000000.0,ore Petrovi,GK,23.0,23.0,1987.0,0.0,0.0,both
Deivid WashingtonDeivid Washington,Chelsea FC,Unknown,€16.00m,1600000000.0,Deivid Washington,"DF,FW",18.0,2.0,13.0,0.0,0.0,both
ÂngeloÂngelo,Chelsea FC,Unknown,€15.00m,1500000000.0,ngelongelo,,,,,,,left_only
Diego MoreiraD. Moreira,Chelsea FC,Unknown,free transfer,0.0,Diego Moreira,,,,,,,left_only
Matheus FrançaMatheus França,Crystal Palace,Unknown,€20.00m,2000000000.0,Matheus Frana,"MF,FW",19.0,10.0,232.0,0.0,1.0,both
Dean HendersonD. Henderson,Crystal Palace,Unknown,€17.50m,1750000000.0,Dean Henderson,GK,26.0,18.0,1620.0,0.0,0.0,both
Rob HoldingR. Holding,Crystal Palace,Unknown,€1.20m,120000000.0,Rob Holding,,,,,,,left_only
Jefferson LermaJ. Lerma,Crystal Palace,Unknown,free transfer,0.0,Jefferson Lerma,"MF,DF",28.0,28.0,2400.0,1.0,1.0,both
BetoBeto,Everton FC,Unknown,€25.00m,2500000000.0,BetoBeto,,,,,,,left_only
ChermitiChermiti,Everton FC,Unknown,€12.50m,1250000000.0,ChermitiChermiti,,,,,,,left_only
Ashley YoungA. Young,Everton FC,Unknown,free transfer,0.0,Ashley Young,"DF,MF",38.0,31.0,2280.0,0.0,0.0,both
Alex IwobiA. Iwobi,Fulham FC,Unknown,€25.70m,2570000000.0,Alex Iwobi,MF,27.0,2.0,140.0,0.0,0.0,both
Calvin BasseyC. Bassey,Fulham FC,Unknown,€22.50m,2250000000.0,Calvin Bassey,DF,23.0,29.0,2303.0,1.0,0.0,both
Timothy CastagneT. Castagne,Fulham FC,Unknown,€13.00m,1300000000.0,Timothy Castagne,DF,27.0,34.0,2634.0,1.0,3.0,both
Raúl JiménezR. Jiménez,Fulham FC,Unknown,€6.40m,640000000.0,Ral Jimnez,FW,32.0,24.0,1395.0,7.0,0.0,both
Steven BendaS. Benda,Fulham FC,Unknown,€870k,870000.0,Steven Benda,,,,,,,left_only
Adama TraoréA. Traoré,Fulham FC,Unknown,free transfer,0.0,Adama Traor,"FW,MF",27.0,17.0,377.0,2.0,3.0,both
Dominik SzoboszlaiD. Szoboszlai,Liverpool FC,Unknown,€70.00m,7000000000.0,Dominik Szoboszlai,MF,22.0,33.0,2104.0,3.0,2.0,both
Alexis Mac AllisterA. Mac Allister,Liverpool FC,Unknown,€42.00m,4200000000.0,Alexis Allister,MF,24.0,33.0,2599.0,5.0,5.0,both
Ryan GravenberchR. Gravenberch,Liverpool FC,Unknown,€40.00m,4000000000.0,Ryan Gravenberch,MF,21.0,26.0,1121.0,1.0,0.0,both
Wataru EndoW. Endo,Liverpool FC,Unknown,€20.00m,2000000000.0,Wataru Endo,MF,30.0,29.0,1722.0,1.0,0.0,both
Ryan GilesR. Giles,Luton Town,Unknown,€5.85m,585000000.0,Ryan Giles,"DF,MF",23.0,11.0,503.0,0.0,0.0,both
Tahith ChongT. Chong,Luton Town,Unknown,€4.70m,470000000.0,Tahith Chong,"MF,FW",23.0,33.0,1982.0,4.0,0.0,both
Mads AndersenM. Andersen,Luton Town,Unknown,€3.50m,350000000.0,Mads Andersen,DF,25.0,8.0,400.0,1.0,0.0,both
Marvelous NakambaM. Nakamba,Luton Town,Unknown,€2.90m,290000000.0,Marvelous Nakamba,MF,29.0,13.0,1130.0,0.0,0.0,both
Thomas KaminskiT. Kaminski,Luton Town,Unknown,€2.90m,290000000.0,Thomas Kaminski,GK,30.0,38.0,3405.0,0.0,0.0,both
Jacob BrownJ. Brown,Luton Town,Unknown,€2.90m,290000000.0,Jacob Brown,"MF,FW",25.0,19.0,1019.0,2.0,0.0,both
Chiedozie OgbeneC. Ogbene,Luton Town,Unknown,free transfer,0.0,Chiedozie Ogbene,"MF,DF",26.0,30.0,1995.0,4.0,1.0,both
Ross BarkleyR. Barkley,Luton Town,Unknown,free transfer,0.0,Ross Barkley,MF,29.0,32.0,2618.0,5.0,4.0,both
Tim KrulTim Krul,Luton Town,Unknown,?,0.0,Tim Krul,,,,,,,left_only
Teden MengiT. Mengi,Luton Town,Unknown,?,0.0,Teden Mengi,DF,21.0,30.0,2469.0,1.0,0.0,both
Andros TownsendA. Townsend,Luton Town,Unknown,-,0.0,Andros Townsend,"MF,FW",32.0,27.0,1210.0,1.0,3.0,both
Josko GvardiolJ. Gvardiol,Manchester City,Unknown,€90.00m,9000000000.0,Joko Gvardiol,DF,21.0,28.0,2328.0,4.0,1.0,both
Matheus NunesM. Nunes,Manchester City,Unknown,€62.00m,6200000000.0,Matheus Nunes,MF,24.0,2.0,179.0,0.0,0.0,both
Jérémy DokuJ. Doku,Manchester City,Unknown,€60.00m,6000000000.0,Jeremy Doku,"FW,MF",21.0,29.0,1595.0,3.0,8.0,both
Mateo KovacicM. Kovacic,Manchester City,Unknown,€29.10m,2910000000.0,Mateo Kovai,MF,29.0,30.0,1551.0,1.0,0.0,both
Rasmus HøjlundR. Højlund,Manchester United,Unknown,€77.80m,7780000000.0,Rasmus Hjlund,FW,20.0,30.0,2158.0,10.0,2.0,both
Mason MountM. Mount,Manchester United,Unknown,€64.20m,6420000000.0,Mason Mount,"MF,FW",24.0,14.0,516.0,1.0,0.0,both
André OnanaA. Onana,Manchester United,Unknown,€50.20m,5020000000.0,Andr Onana,GK,27.0,38.0,3420.0,0.0,0.0,both
Altay BayındırA. Bayındır,Manchester United,Unknown,€5.00m,500000000.0,Altay Bayndr,,,,,,,left_only
Jonny EvansJ. Evans,Manchester United,Unknown,free transfer,0.0,Jonny Evans,DF,35.0,23.0,1392.0,0.0,1.0,both
Sandro TonaliS. Tonali,Newcastle United,Unknown,€58.90m,5890000000.0,Sandro Tonali,MF,23.0,8.0,438.0,1.0,0.0,both
Harvey BarnesH. Barnes,Newcastle United,Unknown,€44.00m,4400000000.0,Harvey Barnes,"FW,MF",25.0,21.0,802.0,5.0,3.0,both
Tino LivramentoT. Livramento,Newcastle United,Unknown,€37.20m,3720000000.0,Valentino Livramento,DF,20.0,26.0,1314.0,1.0,0.0,both
Yankuba MintehY. Minteh,Newcastle United,Unknown,€8.00m,800000000.0,Yankuba Minteh,,,,,,,left_only
Ibrahim SangaréI. Sangaré,Nottingham Forest,Unknown,€35.00m,3500000000.0,Ibrahim Sangar,MF,25.0,17.0,1035.0,0.0,0.0,both
Anthony ElangaA. Elanga,Nottingham Forest,Unknown,€17.50m,1750000000.0,Anthony Elanga,"FW,MF",21.0,36.0,2433.0,5.0,9.0,both
Chris WoodC. Wood,Nottingham Forest,Unknown,€17.00m,1700000000.0,Chris Wood,FW,31.0,31.0,1812.0,14.0,1.0,both
Andrew OmobamideleA. Omobamidele,Nottingham Forest,Unknown,€12.85m,1285000000.0,Andrew Omobamidele,DF,21.0,11.0,783.0,0.0,0.0,both
MurilloMurillo,Nottingham Forest,Unknown,€12.00m,1200000000.0,MurilloMurillo,,,,,,,left_only
Matt TurnerM. Turner,Nottingham Forest,Unknown,€8.15m,815000000.0,Matt Turner,GK,29.0,17.0,1530.0,0.0,0.0,both
Nicolás DomínguezN. Domínguez,Nottingham Forest,Unknown,€6.65m,665000000.0,Nicols Domnguez,"MF,FW",25.0,26.0,1495.0,2.0,2.0,both
Odysseas VlachodimosO. Vlachodimos,Nottingham Forest,Unknown,€4.90m,490000000.0,Odisseas Vlachodimos,GK,29.0,5.0,450.0,0.0,0.0,both
Callum Hudson-OdoiC. Hudson-Odoi,Nottingham Forest,Unknown,€3.50m,350000000.0,Callum Hudson-Odoi,"FW,MF",22.0,29.0,1854.0,8.0,1.0,both
Ola AinaOla Aina,Nottingham Forest,Unknown,free transfer,0.0,Ola Aina,DF,26.0,22.0,1692.0,1.0,1.0,both
Cameron ArcherC. Archer,Sheffield United,Unknown,€21.55m,2155000000.0,Cameron Archer,"FW,MF",22.0,29.0,1832.0,4.0,1.0,both
Gustavo HamerG. Hamer,Sheffield United,Unknown,€17.30m,1730000000.0,Gustavo Hamer,MF,26.0,36.0,2910.0,4.0,6.0,both
Vini SouzaV. Souza,Sheffield United,Unknown,€12.50m,1250000000.0,Vinicius Souza,MF,24.0,36.0,2668.0,1.0,0.0,both
Auston TrustyA. Trusty,Sheffield United,Unknown,€5.80m,580000000.0,Auston Trusty,DF,24.0,32.0,2572.0,0.0,0.0,both
Bénie TraoréB. Traoré,Sheffield United,Unknown,€4.60m,460000000.0,Bnie Traor,"FW,MF",20.0,8.0,387.0,0.0,0.0,both
Anis SlimaneA. Slimane,Sheffield United,Unknown,€2.70m,270000000.0,Anis Slimane,MF,22.0,15.0,419.0,0.0,0.0,both
Tom DaviesT. Davies,Sheffield United,Unknown,free transfer,0.0,Tom Davies,MF,25.0,9.0,221.0,0.0,0.0,both
Brennan JohnsonB. Johnson,Tottenham Hotspur,Unknown,€55.00m,5500000000.0,Brennan Johnson,FW,22.0,32.0,2085.0,5.0,10.0,both
James MaddisonJ. Maddison,Tottenham Hotspur,Unknown,€46.30m,4630000000.0,James Maddison,MF,26.0,28.0,2135.0,4.0,9.0,both
Pedro PorroP. Porro,Tottenham Hotspur,Unknown,€40.00m,4000000000.0,Pedro Porro,DF,23.0,35.0,3089.0,3.0,7.0,both
Micky van de VenM. van de Ven,Tottenham Hotspur,Unknown,€40.00m,4000000000.0,Micky Ven,DF,22.0,27.0,2339.0,3.0,0.0,both
Dejan KulusevskiD. Kulusevski,Tottenham Hotspur,Unknown,€30.00m,3000000000.0,Dejan Kulusevski,"FW,MF",23.0,36.0,2762.0,8.0,3.0,both
Guglielmo VicarioG. Vicario,Tottenham Hotspur,Unknown,€18.50m,1850000000.0,Guglielmo Vicario,GK,26.0,38.0,3420.0,0.0,0.0,both
Alejo VelizA. Veliz,Tottenham Hotspur,Unknown,€15.00m,1500000000.0,Alejo Vliz,FW,19.0,8.0,50.0,1.0,0.0,both
Ashley PhillipsA. Phillips,Tottenham Hotspur,Unknown,€2.30m,230000000.0,Ashley Phillips,,,,,,,left_only
Manor SolomonM. Solomon,Tottenham Hotspur,Unknown,free transfer,0.0,Manor Solomon,FW,24.0,5.0,199.0,0.0,2.0,both
Mohammed KudusM. Kudus,West Ham United,Unknown,€43.00m,4300000000.0,Mohammed Kudus,"FW,MF",22.0,33.0,2484.0,8.0,6.0,both
Edson ÁlvarezE. Álvarez,West Ham United,Unknown,€38.00m,3800000000.0,Edson lvarez,MF,25.0,31.0,2377.0,1.0,1.0,both
James Ward-ProwseJ. Ward-Prowse,West Ham United,Unknown,€34.80m,3480000000.0,James Ward-Prowse,MF,28.0,37.0,3001.0,7.0,7.0,both
Konstantinos MavropanosK. Mavropanos,West Ham United,Unknown,€20.00m,2000000000.0,Konstantinos Mavropanos,DF,25.0,19.0,1500.0,1.0,0.0,both
Andrew IrvingA. Irving,West Ham United,Unknown,€1.76m,176000000.0,Andrew Irving,,,,,,,left_only
Matheus CunhaM. Cunha,Wolverhampton Wanderers,Unknown,€50.00m,5000000000.0,Matheus Cunha,"FW,MF",24.0,32.0,2440.0,12.0,7.0,both
Jean-Ricner BellegardeJ. Bellegarde,Wolverhampton Wanderers,Unknown,€15.00m,1500000000.0,Jean-Ricner Bellegarde,"MF,FW",25.0,22.0,958.0,2.0,1.0,both
Santiago BuenoS. Bueno,Wolverhampton Wanderers,Unknown,€12.00m,1200000000.0,Santiago Bueno,DF,24.0,12.0,822.0,0.0,0.0,both
Boubacar TraoréB. Traoré,Wolverhampton Wanderers,Unknown,€11.00m,1100000000.0,Boubacar Traor,MF,21.0,24.0,819.0,0.0,0.0,both
Enso GonzálezE. González,Wolverhampton Wanderers,Unknown,€6.00m,600000000.0,Enso Gonzalez,"MF,DF",18.0,1.0,1.0,0.0,0.0,both
Matt DohertyM. Doherty,Wolverhampton Wanderers,Unknown,free transfer,0.0,Matt Doherty,"DF,MF",31.0,30.0,1150.0,1.0,0.0,both
Tom KingTom King,Wolverhampton Wanderers,Unknown,free transfer,0.0,Tom King,,,,,,,left_only
